keyword,monthly_search_volume,pc_search_volume,mobile_search_volume,pc_cpc,mobile_cpc,category,memo,priority
부산임플란트잘하는곳,2810,,,790,2020,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
이사짐센터비용,2550,,,530,2020,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
보약,2730,,,710,2020,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
인천중고폰,2540,,,520,2020,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
고용노동부내일배움카드,3410,,,1390,2020,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
인천누수탐지,2540,,,510,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
인천운전면허학원,2650,,,620,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
하나은행환율조회,10250,,,8220,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
아동학대예방교육,4040,,,2010,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
원상복구,2760,,,730,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
수술비보험,2570,,,540,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
치질수술비용,2220,,,190,2030,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
유방혹,2200,,,160,2040,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
사이트,3110,,,1070,2040,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
살빼는방법,2340,,,300,2040,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
토트넘경기일정,2220,,,180,2040,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
스탠포드호텔,2900,,,850,2050,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
가처분신청,2710,,,660,2050,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
대구도시가스고객센터,2300,,,250,2050,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
수소에너지관련주,2490,,,430,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
5월공모주청약일정,2790,,,730,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
개인회생신용회복,4470,,,2410,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
필러가격,2210,,,150,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
이혼시재산분할,2750,,,690,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
병원동행매니저취업,2530,,,470,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
반려견장례,2370,,,310,2060,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
마산치과,2650,,,580,2070,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
터마신,2510,,,440,2070,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
